Number, File Name (.c), Situation
1, extr_.anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rcc.c_RCC_GetClocksFreq_with_main, x
2, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp932ext.h_cp932ext_wctomb_with_main, x
3, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp50221_0212_ext.h_cp50221_0212_ext_wctomb_with_main, v
4, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgb18030ext.h_gb18030ext_wctomb_with_main, v
5, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs1999.h_hkscs1999_wctomb_with_main, x
6, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2001.h_hkscs2001_wctomb_with_main, x
7, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2004.h_hkscs2004_wctomb_with_main, x
8, extr_.BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhkscs2008.h_hkscs2008_wctomb_with_main, x
9, extr_.BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_calc_value4_with_main, v
10, extr_.BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_update_with_main, v
11, extr_.ccvlibccv_util.c__ccv_sparse_matrix_index_for_hash_with_main, x
12, extr_.ccvlibnnccmdconvolutioncpu_opt_ccv_nnc_conv_cpu_4x4_3x3_winograd.c__ccv_nnc_winograd_4x4_3x3_gwtg_ref_with_main, x
13, extr_.Craftdepsglfwsrccontext.c__glfwChooseFBConfig_with_main, x
14, extr_.Craftdepsglfwsrcmir_window.c_toGLFWKeyCode_with_main, v
15, extr_.Craftdepsglfwsrcwl_init.c_toGLFWKeyCode_with_main, v
16, extr_.Craftdepslodepnglodepng.c_getPixelColorRGBA16_with_main, v
17, extr_.Craftsrccube.c_make_cube_faces_with_main, x
18, extr_.darknetsrcimage.c_draw_box_with_main, v
19, extr_.darwin-xnubsdnfsnfs4_vnops.c_nfs_open_file_remove_open_find_with_main, v
20, extr_.disquedepsjemallocsrcctl.c_ctl_arena_stats_smerge_with_main, v
21, extr_.emscriptensystemlibhtml5dom_pk_codes.c_emscripten_compute_dom_pk_code_with_main, ok
22, extr_.emscriptensystemlibhtml5key_codes.c_emscripten_dom_vk_to_string_with_main, v
23, extr_.emscriptensystemliblibcmuslsrccryptcrypt_des.c___do_des_with_main, v
24, extr_.emscriptentestsfuzz15.c_func_3_with_main, x
25, extr_.emscriptentestsopenjpeglibopenjpegtcd.c_tcd_makelayer_fixed_with_main, v
26, extr_.emscriptentestsopenjpeglibopenjpegtcd.c_tcd_makelayer_with_main, v
27, extr_.FFmpeglibavcodecac3enc.c_count_frame_bits_with_main, v
28, extr_.FFmpeglibavcodecagm.c_fill_pixels_with_main, v
29, extr_.FFmpeglibavcodecalphasimple_idct_alpha.c_idct_col_with_main, v
30, extr_.FFmpeglibavcodeccinepakenc.c_calculate_mode_score_with_main, v
31, extr_.FFmpeglibavcodecdca_lbr.c_synth_tones_with_main, v
32, extr_.FFmpeglibavcodecdv.c_dv_calc_mb_coordinates_with_main, v
33, extr_.FFmpeglibavcodecflacenc.c_encode_residual_fixed_with_main, v
34, extr_.FFmpeglibavcodecg722.c_s_zero_with_main, v
35, extr_.FFmpeglibavcodecj2kenc.c_copy_frame_with_main, v
36, extr_.FFmpeglibavcodecmdct15.c_fft5_with_main, v
37, extr_.FFmpeglibavcodecmpegvideo_motion.c_put_obmc_with_main, v
38, extr_.FFmpeglibavcodecpngdec.c_handle_small_bpp_with_main, v
39, extr_.FFmpeglibavcodecroqvideo.c_ff_apply_vector_4x4_with_main, v
40, extr_.FFmpeglibavcodecsbc.c_ff_sbc_calculate_bits_with_main, x
41, extr_.FFmpeglibavcodecsbrdsp.c_sbr_autocorrelate_c_with_main, x
42, extr_.FFmpeglibavcodecscpr.h_decode_run_i_with_main, v
43, extr_.FFmpeglibavcodecscpr.h_decode_run_p_with_main, v
44, extr_.FFmpeglibavcodecsnow_dwt.c_ff_snow_horizontal_compose97i_with_main, v
45, extr_.FFmpeglibavcodecttadsp.c_tta_filter_process_c_with_main, v
46, extr_.FFmpeglibavcodecttaencdsp.c_ttaenc_filter_process_c_with_main, v
47, extr_.FFmpeglibavcodecvc1dsp.c_vc1_inv_trans_8x8_c_with_main, v
48, extr_.FFmpeglibavcodecvmnc.c_put_cursor_with_main, v
49, extr_.FFmpeglibavcodecwavpackenc.c_reverse_decorr_with_main, x
50, extr_.FFmpeglibavcodecxface.c_ff_xface_generate_face_with_main, x
51, extr_.FFmpeglibavcodecxvididct.c_idct_row_with_main, x
52, extr_.FFmpeglibavdevicepulse_audio_enc.c_pulse_map_channels_to_pulse_with_main, v
53, extr_.FFmpeglibavfilteraf_anequalizer.c_chebyshev1_fo_section_with_main, v
54, extr_.FFmpeglibavfilteraf_anequalizer.c_chebyshev2_fo_section_with_main, v
55, extr_.FFmpeglibavfiltersignature_lookup.c_iterate_frame_with_main, v
56, extr_.FFmpeglibavfiltervf_colorbalance.c_apply_lut8_p_with_main, x
57, extr_.FFmpeglibavfiltervf_colorbalance.c_apply_lut16_p_with_main, x
58, extr_.FFmpeglibavfiltervf_convolve.c_get_input_with_main, v
59, extr_.FFmpeglibavfiltervf_curves.c_filter_slice_packed_with_main, x
60, extr_.FFmpeglibavfiltervf_curves.c_filter_slice_planar_with_main, x
61, extr_.FFmpeglibavfiltervf_spp.c_store_slice16_c_with_main, x
62, extr_.FFmpeglibavfiltervf_spp.c_store_slice_c_with_main, x
63, extr_.FFmpeglibavfiltervf_uspp.c_store_slice_c_with_main, v
64, extr_.FFmpeglibswscalergb2rgb_template.c_ff_rgb24toyv12_c_with_main, v
65, extr_.FFmpeglibswscalergb2rgb_template.c_planar2x_c_with_main, v
66, extr_.gitcompatmingw.c_xutftowcsn_with_main, x
67, extr_.gitsha1dcubc_check.c_ubc_check_with_main, x
68, extr_.h2odepspicotlsdepscifrasrccurve25519.donna.c_fproduct_with_main, v
69, extr_.h2odepspicotlsdepscifrasrccurve25519.donna.c_fsquare_inner_with_main, v
70, extr_.kittyglfwcontext.c__glfwChooseFBConfig_with_main, x
71, extr_.kittykittyunicode-data.c_mark_for_codepoint_with_main, v
72, extr_.kphp-kdbcommoncrc32.c_crc32_partial_with_main, v
73, extr_.kphp-kdbcommoncrc32c.c_crc32c_partial_four_tables_with_main, v
74, extr_.kphp-kdbhintsutf8_utils.c_translit_from_en_to_ru_with_main, v
75, extr_.kphp-kdbhintsutf8_utils.c_translit_from_ru_to_en_with_main, v
76, extr_.kphp-kdbisearchutf8_utils.c_translit_from_en_to_ru_with_main, v
77, extr_.kphp-kdbisearchutf8_utils.c_translit_from_ru_to_en_with_main, v
78, extr_.kphp-kdbtargtarg-search.c_postprocess_res_std_with_main, v
79, extr_.kphp-kdbvkextcrc32.c_crc32_partial_with_main, v
80, extr_.labenginecodebspcbrushbsp.c_BoxOnPlaneSide_with_main, v
81, extr_.labenginecodeclientsnd_mix.c_S_PaintChannelFrom16_scalar_with_main, v
82, extr_.labenginecoderenderercommontr_image_png.c_ConvertPixel_with_main, v
83, extr_.labenginecoderenderergl1tr_model_iqm.c_Matrix34Multiply_with_main, v
84, extr_.labenginecoderenderergl2tr_extramath.c_Mat4Multiply_with_main, x
85, extr_.labenginecoderenderergl2tr_model_iqm.c_Matrix34Multiply_with_main, v
86, extr_.labq3map2libsddslibddslib.c_DDSDecodeAlpha3BitLinear_with_main, v
87, extr_.labq3map2libsmathlibm4x4.c_m4x4_multiply_by_m4x4_with_main, x
88, extr_.labq3map2libsmathlibm4x4.c_m4x4_premultiply_by_m4x4_with_main, x
89, extr_.labq3map2q3map2mesh.c_PutMeshOnCurve_with_main, ok
90, extr_.libgit2srchashsha1dcubc_check.c_ubc_check_with_main, x
91, extr_.linuxarchpowerpckvmbooke_emulate.c_kvmppc_booke_emulate_mfspr_with_main, v
92, extr_.linuxarchx86kernelcpuintel.c_intel_tlb_lookup_with_main, x
93, extr_.linuxcryptocast5_generic.c_key_schedule_with_main, v
94, extr_.linuxdriversgpudrmamddisplaydccoredc.c_get_scaling_info_update_type_with_main, x
95, extr_.linuxdriversgpudrmamdpowerplayhwmgrsmu7_hwmgr.c_smu7_get_profiling_clk_with_main, v
96, extr_.linuxdriversgpudrmamdpowerplayhwmgrvega10_hwmgr.c_vega10_odn_update_soc_table_with_main, v
97, extr_.linuxdriversgpudrmmediatekmtk_drm_ddp.c_mtk_ddp_mout_en_with_main, v
98, extr_.linuxdriversgpudrmradeonr100.c_r100_cs_track_clear_with_main, x
99, extr_.linuxdriversgpudrmradeonr600.c_rs780_pm_init_profile_with_main, v
100, extr_.linuxdriversgpudrmradeonradeon_combios.c_combios_setup_i2c_bus_with_main, x
101, extr_.linuxdriversinputmiscad714x.c_touchpad_check_endpoint_with_main, v
102, extr_.linuxdriversisdnhardwareeiconcapidtmf.c_capidtmf_goertzel_result_with_main, v
103, extr_.linuxdriversisdnhardwareeiconmessage.c_chi_to_channel_with_main, v
104, extr_.linuxdriversmediacommoncx2341x.c_cx2341x_set_ctrl_with_main, v
105, extr_.linuxdriversmediacommonv4l2-tpgv4l2-tpg-core.c_tpg_calculate_square_border_with_main, v
106, extr_.linuxdriversmediacommonv4l2-tpgv4l2-tpg-core.c_tpg_s_fourcc_with_main, v
107, extr_.linuxdriversmediadvb-frontendsdrxd_hard.c_CDRXD_with_main, x
108, extr_.linuxdriversmediadvb-frontendsmb86a16.c_smrt_info_get_with_main, v
109, extr_.linuxdriversmediadvb-frontendsmb86a16.c_swp_freq_calcuation_with_main, v
110, extr_.linuxdriversmediadvb-frontendsstv090x.c_stv090x_optimize_carloop_with_main, v
111, extr_.linuxdriversmediafirewirefiredtv-avc.c_avc_tuner_tuneqpsk_with_main, x
112, extr_.linuxdriversmediapciivtvivtv-yuv.c_ivtv_yuv_window_setup_with_main, v
113, extr_.linuxdriversmediaplatformvicodecvicodec-codec.c_fwht16_with_main, v
114, extr_.linuxdriversmediaplatformvicodecvicodec-codec.c_fwht_with_main, v
115, extr_.linuxdriversmediaplatformvicodecvicodec-codec.c_ifwht_with_main, v
116, extr_.linuxdriversmediatunersmxl5005s.c_MXL5005_RegisterInit_with_main, v
117, extr_.linuxdriversmediav4l2-corev4l2-ctrls.c_v4l2_ctrl_get_name_with_main, x
118, extr_.linuxdriversmediav4l2-corev4l2-dv-timings.c_v4l2_detect_cvt_with_main, v
119, extr_.linuxdriversnetethernetatherosatlxatl1.c_atl1_inc_smb_with_main, v
120, extr_.linuxdriversnetethernetbroadcombnx2xbnx2x_reg.h_calc_crc8_with_main, v
121, extr_.linuxdriversnetethernetbrocadebnabnad_ethtool.c_bnad_per_q_stats_fill_with_main, x
122, extr_.linuxdriversnetethernetintelixgbeixgbe_dcb_nl.c_ixgbe_copy_dcb_cfg_with_main, x
123, extr_.linuxdriversnetethernetmellanoxmlx5corecmd.c_mlx5_command_str_with_main, v
124, extr_.linuxdriversnetethernetsfcef10.c_efx_ef10_filter_match_flags_from_mcdi_with_main, v
125, extr_.linuxdriversnetwirelessathath9kantenna.c_ath_ant_div_conf_fast_divbias_with_main, v
126, extr_.linuxdriversnetwirelessathath9kdebug.c_ath_debug_stat_interrupt_with_main, v
127, extr_.linuxdriversstagingmediadavinci_vpfedm365_resizer.c_configure_resizer_out_params_with_main, x
128, extr_.linuxdriversstagingrtl8188euhalrf.c_get_rx_power_val_by_reg_with_main, v
129, extr_.linuxdriversstagingxgifbvb_setmode.c_XGI_AjustCRT2Rate_with_main, v
130, extr_.linuxdriversstagingxgifbXGI_main_26.c_XGIfb_validate_mode_with_main, v
131, extr_.linuxdriversttyserialip22zilog.c_ip22zilog_convert_to_zs_with_main, v
132, extr_.linuxdriversttyserialsunzilog.c_sunzilog_convert_to_zs_with_main, v
133, extr_.linuxdriversvideofbdevcyber2000fb.c_cyber2000fb_decode_crtc_with_main, v
134, extr_.linuxdriversvideofbdevimsttfb.c_imsttfb_check_var_with_main, v
135, extr_.linuxdriversvideofbdevmmpfbmmpfb.c_pixfmt_to_var_with_main, v
136, extr_.linuxdriversvideofbdevneofb.c_vgaHWInit_with_main, v
137, extr_.linuxdriversvideofbdevnvidianv_hw.c_nv4CalcArbitration_with_main, v
138, extr_.linuxdriversvideofbdevnvidianv_hw.c_nv10CalcArbitration_with_main, v
139, extr_.linuxdriversvideofbdevpxa168fb.c_set_pix_fmt_with_main, v
140, extr_.linuxdriversvideofbdevrivariva_hw.c_nv4CalcArbitration_with_main, v
141, extr_.linuxdriversvideofbdevrivariva_hw.c_nv10CalcArbitration_with_main, v
142, extr_.linuxdriversvideofbdevsavagesavagefb_driver.c_vgaHWInit_with_main, v
143, extr_.linuxdriversvideofbdevsisinit.c_SiS_Generic_ConvertCRData_with_main, v
144, extr_.linuxdriversvideofbdevsisinit.c_SiS_GetModeID_LCD_with_main, v
145, extr_.linuxdriversvideofbdevsisinit.c_SiS_GetModeID_TV_with_main, v
146, extr_.linuxdriversvideofbdevsisinit.c_SiS_GetModeID_with_main, v
147, extr_.linuxdriversvideofbdevsisinit301.c_SiS_AdjustCRT2Rate_with_main, v
148, extr_.linuxdriversvideofbdevsisinit301.c_SiS_GetCRT2Ptr_with_main, v
149, extr_.linuxfsafsmisc.c_afs_abort_to_error_with_main, v
150, extr_.linuxtoolsperfutilmem-events.c_c2c_decode_stats_with_main, v
151, extr_.linuxtoolsperfutilsession.c_perf_tool__fill_defaults_with_main, x
152, extr_.micropythondriverscc3000srcsecurity.c_expandKey_with_main, v
153, extr_.nginxsrccorengx_parse.c_ngx_parse_time_with_main, v
154, extr_.nginxsrccorengx_parse_time.c_ngx_parse_http_time_with_main, x
155, extr_.numpynumpylinalglapack_litef2c_c_lapack.c_claswp__with_main, v
156, extr_.numpynumpylinalglapack_litef2c_z_lapack.c_zlaswp__with_main, v
157, extr_.obs-studiodepslibcaptionsrceia608_from_utf8.c__eia608_from_utf8_with_main, ok
158, extr_.obs-studiolibobsobs-cocoa.c_obs_key_from_virtual_key_with_main, v
159, extr_.obs-studiolibobsobs-cocoa.c_obs_key_to_virtual_key_with_main, v
160, extr_.obs-studiolibobsobs-cocoa.c_usage_to_carbon_with_main, v
161, extr_.obs-studiolibobsobs-nix.c_get_keysym_with_main, v
162, extr_.obs-studiolibobsobs-windows.c_get_virtual_key_with_main, v
163, extr_.openpilotselfdrivecontrolsliblateral_mpclib_mpc_exportacado_solver.c_acado_multCTQC_with_main, x
164, extr_.openpilotselfdrivecontrolsliblateral_mpclib_mpc_exportacado_solver.c_acado_multGxGx_with_main, x
165, extr_.openpilotselfdrivecontrolsliblateral_mpclib_mpc_exportacado_solver.c_acado_setObjQ1Q2_with_main, x
166, extr_.openpilotselfdrivecontrolsliblateral_mpclib_mpc_exportacado_solver.c_acado_setObjQN1QN2_with_main, x
167, extr_.openpilotselfdrivecontrolsliblongitudinal_mpclib_mpc_exportacado_solver.c_acado_setObjQ1Q2_with_main, x
168, extr_.openpilotselfdrivecontrolsliblongitudinal_mpclib_mpc_exportacado_solver.c_acado_setObjQN1QN2_with_main, x
169, extr_.opensslcryptoasn1a_utf8.c_UTF8_getc_with_main, v
170, extr_.opensslcryptoeccurve25519.c_fe_mul_with_main, x
171, extr_.opensslcryptoeccurve25519.c_fe_sq2_with_main, x
172, extr_.opensslcryptoeccurve25519.c_fe_sq_with_main, x
173, extr_.opensslcryptoeccurve25519.c_fe_tobytes_with_main, x
174, extr_.opensslcryptoececp_nistp256.c_smallfelem_mul_with_main, x
175, extr_.opensslcryptoececp_nistp521.c_felem_reduce_with_main, x
176, extr_.opensslcryptorc4rc4_enc.c_RC4_with_main, v
177, extr_.php-srcextffiffi.c_zend_ffi_val_character_with_main, v
178, extr_.php-srcextstandardcrypt_freesec.c_des_setkey_with_main, v
179, extr_.php-srcextstandardcrypt_freesec.c_do_des_with_main, v
180, extr_.radare2libranalarchhexagonhexagon_anal.c_hexagon_anal_instruction_with_main, v
181, extr_.radare2librasmarcharmaarch64aarch64-dis-2.c_aarch64_find_next_alias_opcode_with_main, x
182, extr_.radare2librasmarcharmaarch64aarch64-dis-2.c_aarch64_find_next_opcode_with_main, x
183, extr_.radare2librasmarchppclibvlevle.c_set_e_fields_with_main, v
184, extr_.radare2librasmarchppclibvlevle.c_set_ppc_fields_with_main, v
185, extr_.radare2librasmarchtms320c55x_plushashtable.c_get_hashfunc_02_with_main, v
186, extr_.radare2librbinpdbtpi.c_init_stype_info_with_main, v
187, extr_.radare2librmagicascmagic.c_encode_utf8_with_main, x
188, extr_.reactosdll3rdpartydxtntxc_compress_dxtn.c_storedxtencodedblock_with_main, x
189, extr_.reactosdll3rdpartylibxsltxsltlocale.c_xsltDefaultRegion_with_main, x
190, extr_.reactosdllcpldeskpreview.c_CalculateItemSize_with_main, v
191, extr_.reactosdlldirectxwinewined3dstateblock.c_stateblock_init_contained_states_with_main, v
192, extr_.reactosdllopenglmesadlist.c_gl_init_lists_with_main, v
193, extr_.reactosdllopenglmesapointers.c_init_dlist_pointers_with_main, v
194, extr_.reactosdllopenglmesapointers.c_init_exec_pointers_with_main, v
195, extr_.reactosdllopenglmesatriangle.c_gl_set_triangle_function_with_main, v
196, extr_.reactosdllopenglmesaxform.c_gl_xform_points_4fv_with_main, x
197, extr_.reactosdllwin32shlwapiwsprintf.c_WPRINTF_ParseFormatA_with_main, v
198, extr_.reactosdllwin32shlwapiwsprintf.c_WPRINTF_ParseFormatW_with_main, v
199, extr_.reactosdllwin32usp10bidi.c_resolveResolved_with_main, x
200, extr_.reactossdklib3rdpartylibxml2parser.c_xmlCheckLanguageID_with_main, x
201, extr_.reactossdklib3rdpartylibxml2uri.c_xmlNormalizeURIPath_with_main, x
202, extr_.reactossdklib3rdpartylibxml2xpath.c_xmlXPathCmpNodesExt_with_main, x
203, extr_.reactossdklib3rdpartystlportsrcc_locale_win32c_locale_win32.c___ConvertDate_with_main, x
204, extr_.reactossdklib3rdpartystlportsrcc_locale_win32c_locale_win32.c___ConvertTime_with_main, v
205, extr_.reactossdktoolsunicodewctomb.c_wcstombs_sbcs_with_main, v
206, extr_.rufussrcstdio.c_GetVdsError_with_main, x
207, extr_.stbtestsprereleasestb_lib.h_stb_from_utf8_with_main, x
208, extr_.stbtools..stb.h_stb_from_utf8_with_main, x
209, extr_.tenginemodulesngx_http_tfs_modulengx_http_tfs_peer_connection.c_ngx_http_tfs_select_peer_v1_with_main, x
210, extr_.tenginemodulesngx_http_tfs_modulengx_http_tfs_peer_connection.c_ngx_http_tfs_select_peer_v2_with_main, x
211, extr_.tenginesrccorengx_parse.c_ngx_parse_time_with_main, v
212, extr_.tenginesrccorengx_parse_time.c_ngx_parse_http_time_with_main, x
213, extr_.tenginesrchttpngx_http_parse_time.c_ngx_http_parse_time_with_main, x
214, extr_.tmuxscreen.c_screen_check_selection_with_main, x
